psmsl_id,process,confidence,scenario,quantile,2020,2030,2040.00,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
726,total,medium,tlim1.5win0.25,5,0.032,0.07,0.12,0.17,0.21,0.25,0.29,0.33,0.35,0.33,0.35,0.37,0.39,0.41
726,total,medium,tlim1.5win0.25,17,0.046,0.09,0.14,0.20,0.24,0.29,0.34,0.39,0.42,0.40,0.43,0.46,0.49,0.52
726,total,medium,tlim1.5win0.25,50,0.066,0.12,0.17,0.24,0.30,0.37,0.43,0.50,0.56,0.55,0.60,0.65,0.70,0.74
726,total,medium,tlim1.5win0.25,83,0.088,0.15,0.22,0.30,0.38,0.47,0.56,0.64,0.72,0.74,0.81,0.88,0.95,1.02
726,total,medium,tlim1.5win0.25,95,0.105,0.18,0.25,0.35,0.45,0.55,0.66,0.76,0.87,0.88,0.97,1.05,1.14,1.23
726,total,medium,tlim2.0win0.25,5,0.041,0.08,0.12,0.18,0.22,0.28,0.33,0.38,0.42,0.42,0.45,0.49,0.52,0.55
726,total,medium,tlim2.0win0.25,17,0.053,0.10,0.15,0.21,0.26,0.32,0.38,0.44,0.50,0.50,0.54,0.58,0.62,0.66
726,total,medium,tlim2.0win0.25,50,0.07,0.13,0.19,0.26,0.33,0.40,0.48,0.55,0.64,0.66,0.72,0.78,0.84,0.90
726,total,medium,tlim2.0win0.25,83,0.089,0.16,0.24,0.33,0.42,0.51,0.62,0.71,0.83,0.88,0.97,1.06,1.15,1.24
726,total,medium,tlim2.0win0.25,95,0.105,0.19,0.28,0.39,0.49,0.61,0.74,0.86,1.00,1.05,1.16,1.28,1.39,1.50
726,total,medium,tlim3.0win0.25,5,0.052,0.09,0.12,0.19,0.26,0.33,0.39,0.45,0.54,0.55,0.61,0.66,0.71,0.77
726,total,medium,tlim3.0win0.25,17,0.059,0.10,0.15,0.22,0.30,0.37,0.44,0.52,0.61,0.62,0.69,0.76,0.82,0.88
726,total,medium,tlim3.0win0.25,50,0.07,0.13,0.19,0.27,0.35,0.44,0.53,0.63,0.75,0.79,0.88,0.97,1.06,1.15
726,total,medium,tlim3.0win0.25,83,0.085,0.16,0.24,0.33,0.43,0.55,0.68,0.81,0.95,1.04,1.16,1.29,1.42,1.54
726,total,medium,tlim3.0win0.25,95,0.098,0.18,0.28,0.39,0.51,0.65,0.80,0.96,1.14,1.24,1.39,1.54,1.70,1.85
726,total,medium,tlim4.0win0.25,5,0.038,0.08,0.13,0.20,0.26,0.34,0.42,0.51,0.59,0.60,0.68,0.76,0.83,0.91
726,total,medium,tlim4.0win0.25,17,0.05,0.10,0.16,0.23,0.30,0.38,0.47,0.58,0.68,0.69,0.78,0.87,0.96,1.05
726,total,medium,tlim4.0win0.25,50,0.066,0.13,0.19,0.28,0.36,0.46,0.57,0.69,0.83,0.89,1.01,1.13,1.24,1.36
726,total,medium,tlim4.0win0.25,83,0.084,0.16,0.24,0.35,0.45,0.58,0.72,0.88,1.05,1.15,1.31,1.47,1.63,1.78
726,total,medium,tlim4.0win0.25,95,0.1,0.19,0.29,0.40,0.53,0.68,0.85,1.04,1.24,1.37,1.56,1.75,1.94,2.12
726,total,medium,tlim5.0win0.25,5,0.04,0.09,0.15,0.22,0.30,0.39,0.49,0.60,0.72,0.71,0.80,0.89,0.98,1.07
726,total,medium,tlim5.0win0.25,17,0.054,0.11,0.18,0.26,0.34,0.44,0.54,0.67,0.80,0.80,0.91,1.01,1.11,1.21
726,total,medium,tlim5.0win0.25,50,0.072,0.13,0.22,0.31,0.41,0.53,0.65,0.80,0.95,1.02,1.16,1.30,1.42,1.55
726,total,medium,tlim5.0win0.25,83,0.094,0.17,0.27,0.39,0.51,0.65,0.81,1.00,1.20,1.33,1.51,1.70,1.88,2.05
726,total,medium,tlim5.0win0.25,95,0.112,0.20,0.32,0.45,0.60,0.77,0.96,1.18,1.41,1.57,1.80,2.01,2.22,2.43